Product,Region,Year,Sales
GoPro Hero 11,Middle East - Levant,2020,2128.38
Lululemon Align Leggings,Latin America - Northern,2021,230.99
Lululemon Align Leggings,Middle East - Levant,2021,319.89
Microsoft Surface Pro,Europe - Western,2020,8689.08
Dyson V11 Vacuum,Middle East - Gulf,2020,4224.79
AirPods Pro,Africa - Southern,2022,477.6
Vitamix Blender,Europe - Southern,2024,1447.19
MacBook Air M2,Latin America - Southern,2021,806.78
Nespresso Vertuo,Africa - Western,2022,117.48
Nespresso Vertuo,North America - Central,2021,305.58
Tempur-Pedic Mattress,Oceania - Australia,2019,10357.13
AirPods Pro,Africa - Eastern,2020,154.21
Xbox Series X,Middle East - Levant,2019,1533.78
Ray-Ban Aviators,Europe - Southern,2021,139.4
Microsoft Surface Pro,Latin America - Northern,2021,1876.89
Nike Air Force 1,Oceania - New Zealand,2023,549.84
Microsoft Surface Pro,Oceania - New Zealand,2020,4532.34
IKEA Billy Bookcase,Latin America - Southern,2021,309.31
AirPods Pro,Latin America - Northern,2024,893.3
Ninja Air Fryer,Africa - Southern,2022,421.29
Canon EOS R6,Latin America - Central,2024,13282.82
Microsoft Surface Pro,North America - Central,2020,9493.98
Pottery Barn Dining Table,Europe - Southern,2022,10691.74
Dyson V11 Vacuum,Europe - Western,2020,934.4
Samsung Galaxy S23,Europe - Northern,2021,6560.98
iPad Pro,Europe - Southern,2024,8833.07
iPhone 14 Pro,Europe - Southern,2023,6409.06
Dell XPS 13,Europe - Western,2022,7743.34
iPad Pro,Asia - Eastern,2022,8080.28
Xbox Series X,Africa - Southern,2022,1884.93
Instant Pot Pro,Europe - Western,2022,164.29
Ninja Air Fryer,Oceania - Australia,2024,1161.72
Nike Air Force 1,Asia - Eastern,2019,49.03
West Elm Sofa,Latin America - Northern,2022,1718.99
Nike Air Force 1,Asia - Eastern,2024,169.16
Breville Coffee Maker,Latin America - Southern,2022,1813.38
MacBook Air M2,Europe - Western,2023,6436.99
KitchenAid Mixer,Asia - Southeastern,2020,1545.63
Levi's 501 Jeans,Latin America - Central,2022,135.3
IKEA Billy Bookcase,Oceania - Australia,2022,607.73
Breville Coffee Maker,North America - East,2020,1982.83
Nintendo Switch OLED,Africa - Eastern,2020,866.26
Dyson V11 Vacuum,Latin America - Central,2019,1980.2
PlayStation 5,Europe - Eastern,2023,3145.34
Instant Pot Pro,Africa - Southern,2023,108.36
PlayStation 5,Oceania - New Zealand,2021,1454.93
iPad Pro,Africa - Southern,2023,1982.47
Sony WH-1000XM5,Latin America - Northern,2023,1840.88
Microsoft Surface Pro,Africa - Western,2022,763.46
Instant Pot Pro,Middle East - Levant,2023,116.76
Breville Coffee Maker,North America - West,2019,1982.61
KitchenAid Mixer,Latin America - Northern,2021,1045.49
AirPods Pro,Europe - Southern,2024,1196.76
Samsung QLED TV,Europe - Eastern,2023,9187.86
Samsung QLED TV,Africa - Southern,2020,7006.87
Tempur-Pedic Mattress,Latin America - Northern,2024,8974.62
Nike Air Force 1,Middle East - Levant,2019,329.95
GoPro Hero 11,Europe - Northern,2023,2801.56
Canon EOS R6,Oceania - New Zealand,2024,11627.74
Lululemon Align Leggings,Asia - Southeastern,2020,99.41
Tempur-Pedic Mattress,North America - Central,2023,1939.18
Microsoft Surface Pro,Asia - Southeastern,2024,7113.0
Samsung Galaxy S23,North America - West,2021,5246.16
Samsung QLED TV,Africa - Southern,2022,2142.47
Rolex Submariner,Middle East - Levant,2019,3063.23
Microsoft Surface Pro,Latin America - Southern,2022,8920.6
Vitamix Blender,Latin America - Northern,2020,1554.66
iPhone 14 Pro,Africa - Eastern,2022,3786.53
IKEA Billy Bookcase,Asia - Eastern,2021,173.66
KitchenAid Mixer,Latin America - Central,2024,1385.23
West Elm Sofa,Middle East - Levant,2022,7825.05
AirPods Pro,Europe - Western,2019,758.98
Pottery Barn Dining Table,Africa - Eastern,2019,3533.25
Sony WH-1000XM5,Latin America - Central,2024,380.6
Google Pixel 7,Latin America - Southern,2022,3459.1
Instant Pot Pro,Africa - Southern,2021,582.55
Xbox Series X,Africa - Eastern,2022,904.16
Vitamix Blender,Latin America - Southern,2023,280.26
Canon EOS R6,Europe - Eastern,2023,19307.71
Ninja Air Fryer,Europe - Eastern,2021,541.51
iPad Pro,Latin America - Central,2022,3480.04
MacBook Air M2,Europe - Eastern,2022,7570.39
Xbox Series X,Asia - Eastern,2020,4101.6
Ninja Air Fryer,Oceania - Australia,2020,327.19
Breville Coffee Maker,North America - Central,2022,788.62
PlayStation 5,Africa - Eastern,2021,1204.23
Apple Watch Series 8,Europe - Southern,2019,813.83
Apple Watch Series 8,Asia - Southeastern,2022,977.83
Levi's 501 Jeans,North America - West,2021,81.55
Microsoft Surface Pro,Europe - Eastern,2022,9806.56
Xbox Series X,Oceania - New Zealand,2020,3440.43
KitchenAid Mixer,Europe - Western,2021,2547.17
Tempur-Pedic Mattress,Asia - Southeastern,2022,10178.54
Ninja Air Fryer,Latin America - Central,2024,281.24
Nespresso Vertuo,Latin America - Central,2020,364.61
GoPro Hero 11,North America - Central,2020,1224.84
Dell XPS 13,Asia - Eastern,2023,4379.77
Sony WH-1000XM5,Asia - Eastern,2019,293.29
Samsung Galaxy S23,Latin America - Northern,2023,3652.24
Dyson V11 Vacuum,Africa - Southern,2020,2471.26
Lululemon Align Leggings,Latin America - Southern,2024,237.19
Samsung QLED TV,Latin America - Southern,2023,6533.47
KitchenAid Mixer,Middle East - Levant,2020,843.53
Ray-Ban Aviators,Asia - Eastern,2019,68.46
Nintendo Switch OLED,Africa - Eastern,2022,237.13
Herman Miller Chair,North America - Central,2023,5124.55
Canon EOS R6,Europe - Northern,2019,15491.21
KitchenAid Mixer,Latin America - Central,2020,448.22
Nike Air Force 1,Latin America - Southern,2020,108.36
Google Pixel 7,Europe - Southern,2020,1588.39
Vitamix Blender,Europe - Northern,2022,708.72
Pottery Barn Dining Table,Europe - Southern,2022,10691.74
Tempur-Pedic Mattress,Middle East - Levant,2020,6838.38
Samsung Galaxy S23,Latin America - Central,2023,2697.64
Samsung QLED TV,Europe - Southern,2021,2954.56
PlayStation 5,Asia - Eastern,2020,1392.72
Tempur-Pedic Mattress,North America - Central,2023,1939.18
Samsung Galaxy S23,Africa - Southern,2023,3859.87
Google Pixel 7,Africa - Southern,2020,344.85
KitchenAid Mixer,Europe - Western,2019,1291.33
Dyson V11 Vacuum,Europe - Southern,2019,1661.93
iPad Pro,Latin America - Southern,2021,6644.56
West Elm Sofa,Asia - Southern,2023,8055.18
Pottery Barn Dining Table,Africa - Western,2024,3086.83
KitchenAid Mixer,Europe - Northern,2021,1159.23
Dyson V11 Vacuum,Asia - Southern,2019,1107.62
Rolex Submariner,Europe - Southern,2019,23741.44
Google Pixel 7,Middle East - Levant,2024,3602.48
MacBook Air M2,Latin America - Northern,2023,7322.32
AirPods Pro,Latin America - Southern,2022,1077.37
MacBook Air M2,Latin America - Northern,2020,2511.21
Google Pixel 7,Europe - Northern,2020,2996.72
Canon EOS R6,Middle East - Gulf,2024,25207.2
Google Pixel 7,North America - East,2024,4206.18
Xbox Series X,Middle East - Levant,2021,1372.02
Pottery Barn Dining Table,Asia - Eastern,2022,1046.91
Lululemon Align Leggings,Asia - Southern,2021,254.02
Ninja Air Fryer,Asia - Southeastern,2024,861.63
Roomba i7+,Middle East - Levant,2023,2605.68
Dyson V11 Vacuum,Asia - Southern,2023,1365.64
West Elm Sofa,Africa - Eastern,2020,5328.52
iPhone 14 Pro,Oceania - Australia,2024,8164.64
iPad Pro,North America - Central,2022,6398.2
Samsung Galaxy S23,Africa - Southern,2024,3729.0
iPhone 14 Pro,Europe - Northern,2021,6412.19
Lululemon Align Leggings,North America - East,2020,291.75
Microsoft Surface Pro,Asia - Southeastern,2023,2612.38
Nintendo Switch OLED,Europe - Western,2019,1426.53
Sony WH-1000XM5,Latin America - Southern,2022,1607.25
Adidas Ultraboost,Oceania - Australia,2019,194.1
iPhone 14 Pro,Middle East - Gulf,2021,2662.01
Vitamix Blender,North America - Central,2022,439.71
Canon EOS R6,Middle East - Levant,2019,7347.45
Adidas Ultraboost,Middle East - Levant,2022,564.65
GoPro Hero 11,Asia - Eastern,2023,2708.97
Levi's 501 Jeans,Africa - Eastern,2021,150.78
Roomba i7+,Europe - Western,2020,3990.93
GoPro Hero 11,North America - East,2024,2345.03
Adidas Ultraboost,Asia - Southeastern,2022,833.03
GoPro Hero 11,Asia - Eastern,2020,1117.04
Adidas Ultraboost,Middle East - Gulf,2019,250.72
Herman Miller Chair,Middle East - Levant,2022,2573.31
Google Pixel 7,North America - West,2024,5901.37
Breville Coffee Maker,North America - East,2021,763.49
Vitamix Blender,Europe - Western,2022,2789.67
Breville Coffee Maker,Latin America - Northern,2022,364.87
Breville Coffee Maker,Asia - Southeastern,2021,166.81
Google Pixel 7,Oceania - Australia,2019,4229.16
LG OLED TV,Africa - Western,2021,777.86
Dyson V11 Vacuum,North America - Central,2019,2721.45
Ninja Air Fryer,North America - West,2024,1774.82
Samsung Galaxy S23,Europe - Southern,2020,1572.4
Lululemon Align Leggings,Oceania - New Zealand,2022,311.86
Apple Watch Series 8,Oceania - New Zealand,2020,748.15
Ninja Air Fryer,Middle East - Levant,2022,727.22
LG OLED TV,Latin America - Northern,2019,6815.66
Ninja Air Fryer,Latin America - Central,2024,281.24
Microsoft Surface Pro,Asia - Southeastern,2024,7113.0
IKEA Billy Bookcase,Africa - Eastern,2021,212.98
Nike Air Force 1,Latin America - Northern,2020,176.06
Apple Watch Series 8,North America - West,2019,1505.09
MacBook Air M2,Europe - Western,2023,6436.99
Nintendo Switch OLED,Asia - Southern,2021,967.42
Roomba i7+,Latin America - Southern,2023,2711.54
Tempur-Pedic Mattress,Latin America - Southern,2021,1134.25
Adidas Ultraboost,Europe - Eastern,2024,1071.46
KitchenAid Mixer,Africa - Western,2021,1059.2
MacBook Air M2,Africa - Southern,2019,2178.04
Instant Pot Pro,Europe - Southern,2020,202.67
Ray-Ban Aviators,Oceania - Australia,2020,386.49
Apple Watch Series 8,Africa - Southern,2019,661.71
iPhone 14 Pro,Middle East - Gulf,2020,6296.06
Samsung QLED TV,Latin America - Northern,2020,2449.1
Nike Air Force 1,Asia - Eastern,2020,167.07
IKEA Billy Bookcase,Latin America - Northern,2024,280.6
Apple Watch Series 8,Middle East - Levant,2020,545.05
Canon EOS R6,North America - West,2024,22351.89
Roomba i7+,Latin America - Northern,2023,657.55
Adidas Ultraboost,Europe - Western,2024,1089.05
Lululemon Align Leggings,Middle East - Levant,2022,99.75
Dell XPS 13,North America - Central,2019,974.93
Samsung QLED TV,Oceania - Australia,2024,13610.14
Lululemon Align Leggings,Europe - Northern,2022,191.16
Herman Miller Chair,North America - Central,2022,6521.47
Vitamix Blender,Middle East - Levant,2023,318.03
AirPods Pro,Europe - Western,2021,532.09
Nintendo Switch OLED,Africa - Eastern,2022,237.13
Pottery Barn Dining Table,Asia - Southern,2019,4007.52
Pottery Barn Dining Table,Middle East - Gulf,2020,5536.96
Vitamix Blender,Latin America - Southern,2021,726.66
PlayStation 5,Europe - Northern,2020,1629.04
Xbox Series X,Oceania - New Zealand,2022,4913.53
Nike Air Force 1,Middle East - Levant,2024,282.32
Apple Watch Series 8,Europe - Southern,2023,1657.68
Xbox Series X,Africa - Eastern,2019,869.78
Herman Miller Chair,Africa - Southern,2023,1372.28
iPhone 14 Pro,Middle East - Gulf,2020,6296.06
Lululemon Align Leggings,Latin America - Central,2021,93.63
Levi's 501 Jeans,Middle East - Levant,2019,75.17
Dyson V11 Vacuum,Asia - Eastern,2020,936.59
Ninja Air Fryer,Europe - Southern,2023,136.93
Ray-Ban Aviators,Europe - Western,2019,545.99
Levi's 501 Jeans,Middle East - Levant,2021,79.6
AirPods Pro,Asia - Southern,2022,782.36
Vitamix Blender,Africa - Southern,2019,609.43
Canon EOS R6,Africa - Western,2023,5770.59
Canon EOS R6,Africa - Eastern,2022,6095.19
Nintendo Switch OLED,North America - East,2022,544.75
KitchenAid Mixer,Europe - Northern,2022,2419.3
iPhone 14 Pro,Latin America - Northern,2022,7489.67
Roomba i7+,Latin America - Northern,2021,1470.29
KitchenAid Mixer,Africa - Western,2021,1059.2
Rolex Submariner,Africa - Southern,2024,5751.82
MacBook Air M2,Latin America - Southern,2020,5338.95
Sony WH-1000XM5,Middle East - Gulf,2023,1884.59
Nike Air Force 1,Latin America - Southern,2023,56.37
MacBook Air M2,Oceania - New Zealand,2021,7515.26
Rolex Submariner,Asia - Southeastern,2024,39587.0
IKEA Billy Bookcase,Middle East - Levant,2019,42.51
Rolex Submariner,Europe - Northern,2021,7139.59
Adidas Ultraboost,Latin America - Northern,2020,367.67
Tempur-Pedic Mattress,Middle East - Levant,2024,3112.3
iPad Pro,Europe - Eastern,2019,7632.24
Ninja Air Fryer,Latin America - Central,2019,439.08
Adidas Ultraboost,Europe - Southern,2022,214.97
Google Pixel 7,Asia - Southern,2022,490.29
Instant Pot Pro,Oceania - Australia,2019,420.64
Roomba i7+,Europe - Western,2020,3990.93
Adidas Ultraboost,Europe - Eastern,2019,825.12
GoPro Hero 11,Asia - Southern,2024,2376.58
Apple Watch Series 8,North America - Central,2021,1594.27
GoPro Hero 11,North America - Central,2022,1309.19
LG OLED TV,Africa - Eastern,2020,2340.13
West Elm Sofa,Africa - Southern,2020,2443.39
Canon EOS R6,Europe - Southern,2020,4253.35
Instant Pot Pro,Europe - Eastern,2022,503.63
PlayStation 5,Latin America - Southern,2021,2302.13
Dyson V11 Vacuum,Middle East - Gulf,2024,713.34
Roomba i7+,Asia - Southern,2022,2400.5
West Elm Sofa,Europe - Eastern,2021,4654.9
Dyson V11 Vacuum,Oceania - New Zealand,2020,1024.66
Canon EOS R6,Asia - Southern,2021,1646.78
Google Pixel 7,Oceania - New Zealand,2019,2986.07
Roomba i7+,North America - West,2023,2822.31
Herman Miller Chair,Latin America - Central,2020,622.84
Nespresso Vertuo,Asia - Eastern,2019,305.92
Breville Coffee Maker,Africa - Southern,2022,668.95
West Elm Sofa,Asia - Eastern,2023,9535.2
Tempur-Pedic Mattress,Africa - Western,2024,4872.22
Apple Watch Series 8,North America - Central,2020,461.85
Vitamix Blender,Asia - Southeastern,2021,338.69
MacBook Air M2,Africa - Southern,2021,5735.2
Sony WH-1000XM5,Middle East - Gulf,2024,2589.37
Lululemon Align Leggings,Asia - Southeastern,2024,151.53
Roomba i7+,Latin America - Northern,2021,1470.29
IKEA Billy Bookcase,North America - East,2022,569.23
Dell XPS 13,Europe - Northern,2024,1346.2
Breville Coffee Maker,Latin America - Central,2019,903.09
Xbox Series X,Middle East - Gulf,2019,1425.8
Dyson V11 Vacuum,Africa - Eastern,2023,2762.32
Nintendo Switch OLED,Latin America - Southern,2020,925.52
Xbox Series X,Europe - Western,2020,936.42
iPhone 14 Pro,Middle East - Gulf,2022,10137.2
Google Pixel 7,Oceania - New Zealand,2019,2986.07
Vitamix Blender,Africa - Western,2023,1040.26
Nespresso Vertuo,North America - Central,2021,305.58
Adidas Ultraboost,Middle East - Gulf,2024,1419.81
Breville Coffee Maker,North America - Central,2024,1187.04
PlayStation 5,North America - East,2022,1246.36
Tempur-Pedic Mattress,Oceania - Australia,2020,10454.55
GoPro Hero 11,Oceania - New Zealand,2023,507.0
Samsung Galaxy S23,North America - Central,2023,3957.73
Levi's 501 Jeans,Middle East - Gulf,2019,378.47
Levi's 501 Jeans,Latin America - Central,2020,138.65
Nespresso Vertuo,Latin America - Central,2024,566.68
Xbox Series X,Oceania - Australia,2019,1797.25
Samsung Galaxy S23,North America - Central,2020,7110.16
LG OLED TV,Asia - Southeastern,2024,13867.88
Rolex Submariner,Africa - Southern,2021,8862.34
Roomba i7+,North America - East,2019,1622.92
MacBook Air M2,Latin America - Southern,2023,2234.58
Ninja Air Fryer,Africa - Southern,2023,439.24
iPhone 14 Pro,Asia - Southeastern,2019,1701.37
Vitamix Blender,Europe - Northern,2020,564.64
Vitamix Blender,Latin America - Northern,2019,962.56
Nike Air Force 1,Europe - Western,2020,61.29
MacBook Air M2,Latin America - Central,2020,4559.71
Sony WH-1000XM5,Latin America - Southern,2019,195.96
LG OLED TV,Asia - Eastern,2020,6358.16
Herman Miller Chair,Europe - Northern,2019,6051.63
PlayStation 5,Asia - Southern,2023,4120.0
Herman Miller Chair,Africa - Eastern,2023,1816.31
Nintendo Switch OLED,Latin America - Central,2021,592.57
Breville Coffee Maker,Europe - Western,2019,492.63
Herman Miller Chair,Europe - Northern,2021,7129.02
Rolex Submariner,Africa - Southern,2019,21380.73
Nike Air Force 1,North America - Central,2019,412.88
Ninja Air Fryer,Latin America - Central,2023,292.11
PlayStation 5,Latin America - Central,2023,2100.83
Ray-Ban Aviators,Europe - Western,2020,281.13
Xbox Series X,Europe - Southern,2019,3797.41
Vitamix Blender,Africa - Western,2023,1040.26
Nintendo Switch OLED,Africa - Western,2023,300.54
Sony WH-1000XM5,Middle East - Levant,2019,1742.9
Breville Coffee Maker,Europe - Southern,2023,963.48
Samsung Galaxy S23,North America - West,2023,6569.48
Xbox Series X,Europe - Northern,2022,3857.85
Lululemon Align Leggings,Middle East - Gulf,2023,305.11
Herman Miller Chair,Oceania - New Zealand,2020,6749.89
KitchenAid Mixer,Asia - Eastern,2021,955.5
Dyson V11 Vacuum,Latin America - Northern,2023,2750.13
Levi's 501 Jeans,Europe - Western,2020,216.46
Pottery Barn Dining Table,Europe - Northern,2022,7582.31
Ray-Ban Aviators,Asia - Southern,2020,198.48
IKEA Billy Bookcase,Asia - Eastern,2020,174.34
KitchenAid Mixer,Africa - Southern,2019,1363.31
Nintendo Switch OLED,Europe - Northern,2022,1768.12
Lululemon Align Leggings,Asia - Eastern,2020,243.86
LG OLED TV,Oceania - Australia,2019,1824.96
Herman Miller Chair,Middle East - Levant,2020,2039.14
Nintendo Switch OLED,Africa - Eastern,2022,237.13
Sony WH-1000XM5,Oceania - Australia,2024,3861.44
Ray-Ban Aviators,Oceania - Australia,2020,386.49
Roomba i7+,Oceania - New Zealand,2022,1436.63
Google Pixel 7,Oceania - Australia,2024,3038.85
Ninja Air Fryer,Latin America - Southern,2019,148.45
Rolex Submariner,Asia - Southern,2019,16308.79
Canon EOS R6,Oceania - Australia,2023,13155.4
Sony WH-1000XM5,Africa - Southern,2019,1597.08
Roomba i7+,Europe - Northern,2024,2283.68
Breville Coffee Maker,North America - West,2024,2643.7
Samsung Galaxy S23,Africa - Eastern,2024,4554.6
Nintendo Switch OLED,Asia - Southern,2024,633.17
Breville Coffee Maker,Latin America - Central,2019,903.09
PlayStation 5,Africa - Western,2020,255.81
Canon EOS R6,Europe - Western,2023,33924.1
Dell XPS 13,Oceania - New Zealand,2023,14337.75
Xbox Series X,Europe - Southern,2024,1153.46
iPhone 14 Pro,Africa - Western,2020,3904.7
Apple Watch Series 8,Africa - Western,2021,395.66
West Elm Sofa,North America - Central,2024,10853.72
Breville Coffee Maker,Middle East - Levant,2019,477.82
Nespresso Vertuo,Latin America - Southern,2023,634.14
AirPods Pro,North America - Central,2022,1964.8
Breville Coffee Maker,Latin America - Southern,2022,1813.38
Ray-Ban Aviators,Latin America - Central,2019,328.05
Levi's 501 Jeans,Europe - Southern,2019,202.4
Nintendo Switch OLED,Europe - Western,2021,3170.45
Breville Coffee Maker,Africa - Southern,2020,412.56
Dyson V11 Vacuum,Latin America - Northern,2023,2750.13
Breville Coffee Maker,Europe - Western,2020,781.33
Apple Watch Series 8,Africa - Eastern,2020,781.04
PlayStation 5,Latin America - Northern,2019,800.16
Samsung Galaxy S23,North America - East,2024,2470.58
Samsung QLED TV,Europe - Western,2024,17975.03
Dyson V11 Vacuum,Europe - Northern,2021,4478.46
Apple Watch Series 8,Middle East - Gulf,2023,1593.81
iPad Pro,Europe - Eastern,2023,4448.31
Breville Coffee Maker,North America - East,2019,290.71
MacBook Air M2,Asia - Southeastern,2019,7120.66
PlayStation 5,Europe - Eastern,2022,2856.45
Nespresso Vertuo,Africa - Western,2023,477.53
Dyson V11 Vacuum,Asia - Eastern,2024,610.07
GoPro Hero 11,Asia - Southern,2024,2376.58
PlayStation 5,Latin America - Central,2023,2100.83
Xbox Series X,Middle East - Gulf,2020,1018.5
Ray-Ban Aviators,Middle East - Levant,2023,409.26
Microsoft Surface Pro,Middle East - Levant,2023,3364.49
iPad Pro,Europe - Western,2024,5164.24
iPhone 14 Pro,Europe - Southern,2019,6549.12
Microsoft Surface Pro,Latin America - Central,2019,2019.48
Microsoft Surface Pro,Middle East - Levant,2023,3364.49
Xbox Series X,Europe - Northern,2020,3121.5
Nespresso Vertuo,Europe - Western,2019,1040.15
Dell XPS 13,Asia - Southeastern,2020,1964.95
LG OLED TV,Asia - Eastern,2020,6358.16
Levi's 501 Jeans,Asia - Southeastern,2024,549.77
